#arXiv:1809.08597
#title:Search for single production of vector-like quarks decaying to a top quark and a W boson in proton-proton collisions at $\sqrt{s}=$ 13 TeV 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#A.~M.~Sirunyan and al. CMS Collaborations 
#Fig8 lower right 
#pp → Xbq → Wtbq  , Γ/M= 10% 
#Mass(GeV), obs(pb)
700 0.48566343110596943
800 0.31622776601683794
900 0.3051209653167377
1000 0.24271307232444037
1100 0.1626223094126633
1200 0.0958002096795539
1300 0.06796700557986002
1400 0.048914880152614665
1500 0.04961947603002908
1600 0.04753556207866389
1700 0.04961947603002908
1800 0.048914880152614665
1900 0.048914880152614665
2000 0.04553916814371447

