#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s}=$ 13 TeV at the CMS experiment 
#luminosity 35.9 fb-1 
#Energy 13000 GeV 
#CMS Collaborations 
#Fig44 left 
#pp → tqX → WtqX→bqq,$\ell\nu$/b$\ell\nu$,qq, Γ_X/m_X < 5%
#Mass(GeV), obs, exp 
700 0.16913580246913573 0.22283950617283949
800 0.1833333333333333 0.19814814814814813
900 0.21759259259259256 0.18888888888888883
1000 0.23827160493827165 0.18209876543209874
1100 0.21666666666666667 0.18641975308641973
1200 0.19413580246913575 0.19135802469135804
1300 0.16913580246913573 0.19814814814814813
1400 0.15432098765432095 0.21172839506172836
1500 0.16666666666666663 0.22623456790123458
1600 0.19660493827160497 0.24012345679012348
1700 0.2438271604938272 0.2549382716049383
1800 0.2830246913580247 0.2703703703703704


