#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s}=$ 13 TeV at the CMS experiment 
#luminosity 138 fb-1 
#Energy 13000 GeV 
#CMS Collaborations 
#Fig44 left 
#pp → tqX → WtqX→bqq,$\ell\nu$/qq, Γ_X/m_X < 5%
#Mass(GeV), obs, exp
700 0.3401234567901236 0.34012345679012357
800 0.2682098765432099 0.3006172839506173
900 0.2194444444444445 0.2833333333333333
1000 0.22098765432098766 0.2842592592592593
1100 0.25617283950617287 0.2941358024691359
1200 0.2913580246913581 0.2916666666666668
1300 0.29197530864197535 0.2925925925925927
1400 0.24444444444444446 0.25092592592592594
1500 0.21790123456790117 0.2345679012345679
1600 0.21049382716049386 0.24135802469135803
1700 0.20493827160493822 0.25092592592592594
1800 0.19444444444444442 0.2558641975308642

