#arXiv:1812.07343
#title:Search for single production of vector-like quarks decaying into Wb in $pp$ collisions at $\sqrt{s}=$13​ TeV with the ATLAS detector
#luminosity 36.1 fb-1 
#Energy 13000 GeV 
#M Aaboud show all.ATLAS Collaborations 
#Fig9
#pp → Ybq → Wbbq
#Mass(GeV), obs(pb), exp(pb) 
800 0.21245782310305739 0.27028265839051707
900 0.17414423062276693 0.17597644720062305
1000 0.11103363181676401 0.11103363181676401
1100 0.06860624286177802 0.07778737048694327
1200 0.052261493690870124 0.07153942654376515
1300 0.046093147332662975 0.06443041209516133
1400 0.05682578639969631 0.06050875007272967
1500 0.06860624286177802 0.05564863876983306
1600 0.10211532151708533 0.07079457843841395
1700 0.1157807513704881 0.07617600310246148
1800 0.07778737048694327 0.05336699231206318
1900 0.09690889383776828 0.09293553816835341



