#arXiv:2401.17165
#title: Search for pair-production of vector-like quarks in lepton+jets final states containing at least one b-tagged jet using the Run 2 data from the ATLAS experiment 
#17165_ATLAS_140 fb-1 
#Energy 13000 GeV 
#G.~Aad show al.CMS
#Fig5-a 
#pp → YY→bW  
#Mass(GeV), obs(pb), exp(pb), \sigma_theo(fb) 
1000.0 0.01000000000000001 0.012915496650148853 0.044  
1100.0 0.005583590764593037 0.007742636826811286 0.0224
1200.0 0.003913745601980392 0.004913127387829677 0.0118
1300.0 0.003468354312664861 0.003323570827187785 0.00639
1400.0 0.002519037123967584 0.002346228848142267 0.00354
1500.0 0.0015647481416580223 0.0016329126856448007 0.00200
1600.0 0.001000000000000001 0.001211527658628589 0.001148 
1700.0 0.0006621976791563672 0.0008372198297821665 0.000666
1800.0 0.00048437886495410513 0.0006124026157621064 0.000391
1900.0 0.0003645259035005184 0.0004543676546424229 0.000221
2000.0 0.00026854207829668584 0.00037012172455448976 0.000133 





