#arXiv:2409.20273
#title:Search for single-production of vector-like quarks decaying into Wb in the fully hadronic final state in $pp$ collisions at $\sqrt{s}​=$13 TeV with the ATLAS detector
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G Aad show all.ATLAS Collaborations 
#Fig5b 
#pp → T(Y)bq → Wbbq, k= 0.7
#Mass(GeV), obs(pb), exp(pb) 
1000 0.24888573182823953 0.2910717118066608
1100 0.1555965631605075 0.19952623149688828
1200 0.15275660582380748 0.1721868574986008
1300 0.14723125024327208 0.13061708881318418
1400 0.13931568029453034 0.09638290236239705
1500 0.11376272858234321 0.07379042301291015
1600 0.08871560120379626 0.061376200516479455
1700 0.07046930689671474 0.05495408738576254
1800 0.05495408738576254 0.05058246620031143
1900 0.048752849010338654 0.048305880203977386
2000 0.046131757456038 0.046131757456038
2100 0.040550853544838436 0.039810717055349776
2200 0.03341950400261146 0.036982817978026626
2300 0.028313919957993816 0.032508729738543435
2400 0.024660393372343437 0.030199517204020223
2500 0.022080047330189038 0.02754228703338166
2600 0.019408858775927774 0.024660393372343437
2700 0.017538805018417657 0.022698648518838235
