#arXiv:2409.20273
#title:Search for single-production of vector-like quarks decaying into Wb in the fully hadronic final state in $pp$ collisions at $\sqrt{s}​=$13 TeV with the ATLAS detector
#luminosity 139 fb-1 
#Energy 13000 GeV 
#G Aad show all.ATLAS Collaborations 
#Fig6 
#pp → T(Y)bq → Wbbq, doulet(B Y)
#Mass_obs(GeV), Mass_exp(GeV), obs(pb), exp(pb)
1000 1000 0.19383561643835634 0.19520547945205502
1100 1100 0.16621621621621607 0.17567567567567544
1200 1200 0.16554054054054068 0.17397260273972626
1300 1300 0.17432432432432432 0.1844594594594594
1400 1400 0.18648648648648636 0.18648648648648591
1500 1500 0.24594594594594588 0.1945945945945946
1600 1600 0.3243243243243241 0.2054054054054053
1700 1700 0.3243243243243241 0.23378378378378362
1800 1800 0.2648648648648648 0.2424657534246576
1900 1900 0.2466216216216215 0.26164383561643845
2000 2000 0.31232876712328783 0.3315068493150686
2100 2100 0.435135135135135 0.4
2200 2200 0.5191780821917809 0.5171232876712327 
2220 2220 0.537162162162162 0.5513513513513512
2240 NaN 0.5465753424657535 NaN


