#ATLAS-CONF-2016-072 
#title:Search for single production of vector-like quarks decaying into Wb in $pp$ collisions at $\sqrt{s}=$13 TeV with the ATLAS detector 
#Luminosity 3.2 fb-1 
#Energy 13000 GeV 
#ATLAS Collaboration 
#Fig 8
#pp → Ybq→ Wbbq, doublet
#Mass(GeV), obs(pb), exp(pb)
700 0.3793478260869565 0.32391304347826066 
800 0.31956521739130417 0.3021739130434782
900 0.24673913043478302 0.2608695652173916
1000 0.23260869565217357 0.27608695652173876
1100 0.2445652173913042 0.3065217391304347
1200 0.284782608695652 0.33804347826086945
1300 0.39347826086956506 0.40217391304347805
1400 0.44999999999999996 0.44999999999999996
1500 0.5597826086956522 0.5391304347826088
1600 0.5054347826086957 0.5304347826086957


