#arXiv:1710.01539 
#title:Search for pair production of vector-like quarks in the bW$ar{b}$W channel from proton-proton collisions at $\sqrt{s}=$13 TeV 
#01539_CMS_35.8 fb-1 
#Energy 13000 GeV 
#A.M.~Sirunyan \textit{et al.} [CMS] 
#Fig 4 upper  
#pp → YY→Wb 
#Mass(GeV), obs(pb), exp(pb) 
800.0 0.04098383671757257 0.029714811046840126
900.0 0.0401424249049932 0.021995930680300747
1000.0 0.016366807105102656 0.014831025143361045
1100.0 0.00842705203661421 0.011266831564465982
1200.0 0.00695572402049276 0.008784027640519384
1300.0 0.006604193962330305 0.007175560918936928
1400.0 0.004714367383565789 0.006401861972705489
1500.0 0.004939621743878321 0.005311598324364788
1540.0 0.004991122144435849 0.005017073349507932
1600.0 0.005122234529751633 0.004641588833612787
