#arXiv:2405.17605
#title:Review of searches for vector-like quarks, vector-like leptons, and heavy neutral leptons in proton-proton collisions at $\sqrt{s}=$ 13 TeV at the CMS experiment 
#luminosity 2.3 fb-1 
#Energy 13000 GeV 
#CMS Collaborations 
#Fig44 right 
#pp → Ybq → bW→b,$\ell\nu$ Γ_Y/m_Y < 5%
#Mass(GeV), obs, exp
700 0.43350000000000005 0.33050000000000035
800 0.4060000000000001 0.35150000000000015
900 0.32700000000000007 0.3544999999999999
1000 0.26650000000000007 0.3650000000000001
1100 0.27449999999999997 0.37100000000000005
1200 0.30500000000000005 0.37500000000000006
1300 0.32600000000000007 0.4225000000000001
1400 0.3470000000000001 0.4795000000000001
1500 0.365 0.53
1600 0.3855 0.5650000000000001
1700 0.44 0.6210000000000001
1800 0.5290000000000001 0.6960000000000001

 
