mass br_wb br_zt br_ht s_u_r s_d_r
300 0.1446333999447789 0.2986560961109249 0.5567105039442962 0.4 0.4
301 0.13087648518693662 0.27435822683201105 0.5947652879810522 0.4 0.4
302 0.12114831180012037 0.2577274053422976 0.621124282857582 0.4 0.4
303 0.11375971401159601 0.2455048217280568 0.6407354642603472 0.4 0.4
304 0.10788700744700695 0.2361119338953845 0.6560010586576086 0.4 0.4
305 0.10306894086058235 0.22867032077921504 0.6682607383602026 0.4 0.4
306 0.09902245205649791 0.22264414959554962 0.6783333983479525 0.4 0.4
307 0.09556205647365652 0.21768434091032915 0.6867536026160144 0.4 0.4
308 0.09256004403735209 0.21355190307916944 0.6938880528834785 0.4 0.4
309 0.08992500803406951 0.21007672235691538 0.6999982696090151 0.4 0.4
310 0.08758944935161457 0.20713385348235439 0.705276697166031 0.4 0.4
311 0.08550222371999804 0.2046291222886258 0.7098686539913762 0.4 0.4
312 0.08362373305670423 0.20248998970418225 0.7138862772391136 0.4 0.4
313 0.08192274990803855 0.2006595382598942 0.7174177118320673 0.4 0.4
314 0.08037425449207822 0.1990923894060029 0.7205333561019188 0.4 0.4
315 0.07895792185633385 0.19775185710406867 0.7232902210395973 0.4 0.4
316 0.07765703911894334 0.1966079170894687 0.7257350437915879 0.4 0.4
317 0.07645771474516008 0.19563572852303304 0.7279065567318068 0.4 0.4
318 0.07534829071386717 0.19481453840383725 0.7298371708822956 0.4 0.4
319 0.07431889852830142 0.19412685664277501 0.7315542448289236 0.4 0.4
320 0.0733611190706267 0.19355782602498858 0.7330810549043847 0.4 0.4
321 0.07246771865105678 0.19309473480205952 0.7344375465468838 0.4 0.4
322 0.07163244179027321 0.19272663521210454 0.7356409229976223 0.4 0.4
323 0.07084984681085958 0.19244404172576 0.7367061114633804 0.4 0.4
324 0.07011517412561925 0.19223869003113184 0.7376461358432489 0.4 0.4
325 0.06942423977855634 0.19210334281056785 0.7384724174108758 0.4 0.4
326 0.0687733486895631 0.19203163193550948 0.7391950193749274 0.4 0.4
327 0.06815922341885101 0.1920179292744035 0.7398228473067456 0.4 0.4
328 0.0675789452627668 0.1920572401786996 0.7403638145585336 0.4 0.4
329 0.06702990522735423 0.192145115089395 0.7408249796832507 0.4 0.4
330 0.06650976297412933 0.19227757573222648 0.741212661293644 0.4 0.4
331 0.06601641224557575 0.19245105314107402 0.7415325346133502 0.4 0.4
332 0.06554795159206134 0.19266233533487925 0.7417897130730594 0.4 0.4
333 0.06510265946299013 0.19290852292205124 0.7419888176149586 0.4 0.4
334 0.06467897291156767 0.19318699125284713 0.7421340358355852 0.4 0.4
335 0.06427546930802697 0.19349535800990528 0.7422291726820678 0.4 0.4
336 0.06389085057042414 0.19383145533855126 0.7422776940910246 0.4 0.4
337 0.06352392951247307 0.19419330578540017 0.7422827647021268 0.4 0.4
338 0.06317361797981211 0.19457910144638704 0.7422472805738008 0.4 0.4
339 0.06283891650369962 0.19498718583136604 0.7421738976649342 0.4 0.4
340 0.06251890524753073 0.1954160380376479 0.7420650567148214 0.4 0.4
341 0.06221273605914931 0.1958642588937491 0.7419230050471016 0.4 0.4
342 0.061919625472525726 0.19633055879063724 0.741749815736837 0.4 0.4
343 0.06163884852740529 0.19681374696348092 0.7415474045091138 0.4 0.4
344 0.06136973329611557 0.19731272202445702 0.7413175446794273 0.4 0.4
345 0.06111165602371558 0.19782646357810235 0.7410618803981821 0.4 0.4
346 0.060864036801768086 0.19835402477631 0.740781938421922 0.4 0.4
347 0.06062633570775485 0.19889452569136695 0.7404791386008781 0.4 0.4
348 0.06039804935197037 0.19944714740319536 0.7401548032448343 0.4 0.4
349 0.06017870778196574 0.20001112671184967 0.7398101655061846 0.4 0.4
350 0.0599678717015536 0.20058575139883228 0.7394463768996141 0.4 0.4
351 0.059765129967246255 0.20117035597135627 0.7390645140613975 0.4 0.4
352 0.05957009732997376 0.2017643178326131 0.7386655848374133 0.4 0.4
353 0.05938241239415626 0.20236705382869663 0.7382505337771471 0.4 0.4
354 0.059201735769815744 0.20297801712930277 0.7378202471008815 0.4 0.4
355 0.05902774839650014 0.20359669440483788 0.7373755571986619 0.4 0.4
356 0.058860150020444674 0.20422260326730934 0.7369172467122461 0.4 0.4
357 0.05869865780867588 0.2048552899464308 0.7364460522448932 0.4 0.4
358 0.058543005085733936 0.20549432717587848 0.7359626677383876 0.4 0.4
359 0.0583929401803898 0.20613931226765797 0.7354677475519523 0.4 0.4
360 0.05824822537121385 0.20678986535515706 0.734961909273629 0.4 0.4
361 0.05810863592113303 0.2074456277877344 0.7344457362911326 0.4 0.4
362 0.057973959192235594 0.2081062606616658 0.7339197801460986 0.4 0.4
363 0.057843993833056676 0.20877144347399468 0.7333845626929487 0.4 0.4
364 0.057718549031434786 0.20944087288733781 0.7328405780812275 0.4 0.4
365 0.057597443826777964 0.21011426159501004 0.732288294578212 0.4 0.4
366 0.05748050647623716 0.21079133727699517 0.7317281562467678 0.4 0.4
367 0.057367573869864824 0.21147184163829547 0.7311605844918396 0.4 0.4
368 0.05725849099034814 0.21215552952209538 0.7305859794875564 0.4 0.4
369 0.05715311041335808 0.21284216809095768 0.7300047214956843 0.4 0.4
370 0.05705129184495621 0.21353153606996972 0.7294171720850741 0.4 0.4
371 0.05695290169285629 0.21422342304637726 0.7288236752607664 0.4 0.4
372 0.05685781266865226 0.21491762882078194 0.7282245585105657 0.4 0.4
373 0.056765903418405934 0.21561396280547812 0.7276201337761159 0.4 0.4
374 0.05667705817923665 0.21631224346592323 0.7270106983548401 0.4 0.4
375 0.05659116645977936 0.21701229780173192 0.7263965357384887 0.4 0.4
376 0.0565081227425769 0.2177139608639233 0.7257779163934999 0.4 0.4
377 0.056427826206650065 0.21841707530545718 0.7251550984878928 0.4 0.4
378 0.0563501804686505 0.21912149096237515 0.7245283285689743 0.4 0.4
379 0.056275093341144895 0.2198270644631035 0.7238978421957517 0.4 0.4
380 0.056202476606707207 0.2205336588636996 0.7232638645295933 0.4 0.4
